Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Accuracy_CI_Lower,Accuracy_CI_Upper,Precision_CI_Lower,Precision_CI_Upper,Recall_CI_Lower,Recall_CI_Upper,F1_CI_Lower,F1_CI_Upper,ROC_AUC_CI_Lower,ROC_AUC_CI_Upper,PR_AUC_CI_Lower,PR_AUC_CI_Upper
Logistic Regression,0.616580310880829,0.2839506172839506,0.5897435897435898,0.38333333333333336,0.6466866466866468,0.48809585713771,0.5492227979274611,0.6787564766839378,0.18587209302325583,0.38070869420386405,0.4523809523809524,0.7222222222222222,0.2685096153846154,0.48413558467741935,0.5360613282574574,0.745772188592418,0.34930927870082634,0.627110550863778
Random Forest,0.8134715025906736,0.5789473684210527,0.28205128205128205,0.3793103448275862,0.6108891108891109,0.42493090749363394,0.7616580310880829,0.8652849740932642,0.36363636363636365,0.8,0.15376420454545456,0.4110482654600301,0.22682246998284733,0.5263157894736842,0.5012095216801635,0.7123723268278743,0.2908787274352661,0.5749267755500279
Gradient Boosting,0.6062176165803109,0.2597402597402597,0.5128205128205128,0.3448275862068966,0.5677655677655677,0.443982232558808,0.538860103626943,0.6659326424870465,0.1556475903614458,0.34902146464646455,0.36799909665763325,0.6746276889134031,0.2222222222222222,0.44186991869918685,0.44557072718006063,0.6867811228264892,0.3082830901563307,0.5995280128832499
XGBoost,0.6735751295336787,0.2692307692307692,0.358974358974359,0.3076923076923077,0.5586080586080586,0.3361564624718557,0.616580310880829,0.7357512953367875,0.15846291866028708,0.3883503401360544,0.21803668478260868,0.5139189189189188,0.19042021473528323,0.42149810066476723,0.45515479484230725,0.6671942038443285,0.22848779748850934,0.47755131507661
