Term,Coefficient,Robust_SE_HC3,z_value,p_value,CI_95_Lower,CI_95_Upper
const,13.793500097395007,0.11819156303581829,116.70460854481506,0.0,13.561848890568308,14.025151304221707
wind_speed_mph,0.005064232407268497,0.001344329033677637,3.7671078139363257,0.00016514969182637908,0.002429395917888795,0.007699068896648198
flood_depth_feet,0.22753444396401973,0.03807902289866564,5.975322543583253,2.296353859538278e-09,0.15290093051615905,0.3021679574118804
hail_size_inches,-0.07174699397760256,0.04132347897052016,-1.7362283080954122,0.08252347378426673,-0.1527395244757204,0.009245536520515268
storm_duration_hours,0.005817305641779479,0.007738312079934461,0.7517538168128196,0.45219911990270845,-0.0093495073360233,0.02098411861958226
