Predictor,Pearson r,Pearson p-value,Spearman rho,Spearman p-value,Linear R-squared
wind_speed_mph,0.7098605025714637,2.6667747814952284e-139,0.7073173799416467,6.978423640839185e-138,0.5039019331110106
flood_depth_feet,0.38022254635239433,1.9539429064972162e-32,0.19479404990674595,3.589668328215089e-09,0.1445691847546984
hail_size_inches,0.5853317721512178,3.8411694815442793e-84,0.5906752441866592,5.0272481053633615e-86,0.34261328348968656
storm_duration_hours,0.5756447009553154,8.137609091460878e-81,0.541154223344268,7.861701731054715e-70,0.33136682173793436
median_income_usd,-0.20100430502532046,1.1005051386392447e-09,-0.17679306936421377,8.920622209576422e-08,0.04040273063871203
population_density_per_sq_mi,-0.20158710501979915,9.82996236261673e-10,-0.16870158807112423,3.413752215012777e-07,0.04063736091026359
nfip_claim_count,0.23166230956276193,1.8164619089810895e-12,0.25771252577943843,3.638860359386057e-15,0.05366742567195286
log_property_damage,0.5681948126227504,2.4765183767901896e-78,0.5533101960392778,1.4789107476149185e-73,0.32284534509140245
