dominant_event_type,count,mean,median,max
Hurricane (Typhoon),23,0.4887527325564544,0.4846319898677871,0.5943068416950359
Hail,170,0.4511165593096242,0.4509630106976633,0.6545977596852817
Tornado,131,0.4399369543776829,0.4333650438927992,0.5818673421727957
Flash Flood,180,0.3928013206120244,0.3805499924095876,0.6380789079412269
Thunderstorm Wind,303,0.35916474927344255,0.352312753119784,0.5689896046581989
Winter Storm,92,0.3297337390380276,0.32515479336055486,0.4536776434750478
Wildfire,4,0.2996976382499157,0.29545310085772636,0.3555790821418991
